study id,iadl ax,author,ppt,n,variable,stat,effect size,,,,,,,,,
12,tiadl,"Brewster et al., (2017)",nc,885,ces-d,pcc,0.05,,,,,,,,,
71,tiadl,Mora & Suchy (2023),nc,150,gds,pcc,-0.279,,,,,,,,,
106,tiadl,"Suchy et al., (2024)a",nc,93,gds,pcc,0.082,,,,,,,,,
107,tiadl,"Suchy et al., (2019)",nc,107,gds,pcc,0.138,,,,,,,,,
108,tiadl,"Suchy et al., (2024)b",nc,95,gds,pcc,0.11,,,,,,,,,
53,tiadl,"Higginson et al., (2013)",pd-nc,30,gds,pcc,0.67,,,,,,,,,
